type,id,link,title,description
category,home,,Home,
page,home,intro,Introduction,
page,home,download,Download,
page,home,contact,Contact Us,
category,structure,,Structure,
page,structure,layout,Layout,
page,structure,grid,Grid,
category,style,,Styles,
page,style,color,Color Palette,
page,style,typo,Typography,
page,style,icon,Icon Package,
category,component,,Components,
page,component,component,Components,
category,state,,State,
page,state,state,State,
category,sample,,Sample,
page,sample,sample,Sample,
category,pattern,,Patterns,
page,pattern,pattern,All Patterns,
page,pattern,modal,Modal,
pattern,modal,modal1.png,Modal Without Title,abcdef
pattern,modal,modal2.png,hihi,3kljrs;fjsdf
pattern,modal,modal3.png,hoho,sdakflsdf
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
